star_id,ra,dec,pmra,epmra,pmdec,epmdec,plx,eplx,mz,ez,my,ey,mj,ej,mh,eh,mk,ek,probability,cluster
7114,247.435544920893,-49.1496673973409,2.23404669761658,0.122178480029106,-4.58815622329712,0.0902195274829865,0.919377863407135,0.0990095213055611,,0.0222141509929443,,0.019238711472248,15.2607002258301,0.0191497124073258,14.7089996337891,0.0222141509929443,14.5488996505737,0.0205435855035767,1,NGC_6134
7115,247.420531941166,-49.1724647874331,2.39397382736206,0.0259035136550665,-4.20897531509399,0.0168537478893995,0.888480544090271,0.0215112455189228,,0.0213163139441167,,0.0179543116577928,11.9437779388428,0.0229145148997709,11.7354295349121,0.0213163139441167,11.5967953733362,0.0299603882981623,1,NGC_6134
7116,247.645407991943,-49.1971951072033,2.19972348213196,0.344589471817017,-4.34659004211426,0.234933063387871,0.879327774047852,0.266922622919083,,0.0323953335894249,19.3455009460449,0.0289094578826341,16.0809001922607,0.0254599990451788,15.3311996459961,0.0323953335894249,15.152099609375,0.0277453505545728,1,NGC_6134
7117,246.694950442937,-49.0803461337939,2.42568325996399,0.0858735367655754,-4.83251571655273,0.0616773404181004,0.892730474472046,0.072112649679184,,0.0198863249973181,,0.0165201184565714,14.5081996917725,0.0160953997054855,13.9284000396729,0.0198863249973181,13.7469997406006,0.0164181044049497,1,NGC_6134
7118,246.642305969905,-49.1089435234213,2.27076888084412,0.0383442454040051,-4.57552242279053,0.0320094749331474,0.815242648124695,0.0356924273073673,,0.0181966354638799,,0.016327768925463,13.770299911499,0.0151270873353121,13.4031000137329,0.0181966354638799,13.239800453186,0.0149620808239678,1,NGC_6134
7119,246.776891626962,-49.0742624082212,2.10710978507996,0.0149322506040335,-4.44168186187744,0.0117071690037847,0.894733667373657,0.0142020750790834,,,,,11.1344301595688,0.026889161892096,10.839049782753,,10.6761798992157,0.0291565078752241,1,NGC_6134
7120,246.705974940874,-49.0946637016613,2.21102523803711,0.0318221114575863,-4.56326818466187,0.0238406956195831,0.844865083694458,0.028295312076807,,0.0183174091987394,,0.0151710069435094,13.3262996673584,0.0151466945462402,12.9862003326416,0.0183174091987394,12.8628997802734,0.0149965371343067,1,NGC_6134
7121,246.718849325158,-49.0994041973873,2.00859141349792,0.196072235703468,-4.42568588256836,0.151126146316528,0.895097553730011,0.162812560796738,18.1541996002197,0.0294099223839701,16.6025009155273,0.0246500338272284,15.8446998596191,0.0225111760573379,15.1378002166748,0.0294099223839701,14.9582004547119,0.0243490330589709,1,NGC_6134
7122,246.753652688319,-49.1059142355442,2.32202100753784,0.0338412895798683,-4.34106159210205,0.0257311630994081,0.901468455791473,0.0289061293005943,,0.0183536278107182,19.2717990875244,0.0153081901799194,13.4107999801636,0.0152412669704249,13.0567998886108,0.0183536278107182,12.9670000076294,0.0150439457866072,1,NGC_6134
7123,246.65100534956,-49.1403605430249,2.41874098777771,0.0886380597949028,-4.34119701385498,0.0720304325222969,0.801032841205597,0.07991573959589,,0.0202196571774545,,0.0171757749094959,14.9063997268677,0.017645429521002,14.4160003662109,0.0202196571774545,14.2372999191284,0.0177983751314622,1,NGC_6134
